template_name,category,cash_flow_category,template_type,description,is_system,active,version,usage_count,last_used_at,semantic_description,keywords,example_merchants,typical_amount_min,typical_amount_max,merchant_patterns
Post Gaji Bulanan,EXPENSE,OPERATING,DETAILED,Posting payroll bulanan. Variabel: grossSalary companyBpjsKes companyBpjsTk netPay totalBpjs pph21,false,true,1,0,,Template sistem untuk posting hasil payroll bulanan. Dijalankan otomatis dari fitur payroll. Variabel: grossSalary companyBpjsKes companyBpjsTk netPay totalBpjs pph21.,payroll|gaji|salary|posting gaji|slip gaji,,2000000,100000000,
Bayar Hutang Gaji,PAYMENT,OPERATING,SIMPLE,Pembayaran transfer gaji ke rekening karyawan,false,true,1,0,,Gunakan template ini untuk mencatat transfer gaji ke rekening karyawan setelah payroll diposting.,bayar gaji|transfer gaji|hutang gaji|salary payment,,2000000,100000000,
Bayar Hutang BPJS,PAYMENT,OPERATING,SIMPLE,Penyetoran iuran BPJS Kesehatan dan Ketenagakerjaan,false,true,1,0,,Gunakan template ini untuk mencatat penyetoran iuran BPJS setelah payroll diposting.,bpjs|iuran bpjs|setor bpjs|bpjs kesehatan|bpjs ketenagakerjaan,BPJS Kesehatan|BPJS Ketenagakerjaan,500000,20000000,.*bpjs.*
Setor PPh 21,PAYMENT,OPERATING,SIMPLE,Penyetoran PPh 21 karyawan ke kas negara,false,true,1,0,,Gunakan template ini untuk mencatat penyetoran PPh 21 karyawan ke DJP.,pph 21|pajak karyawan|setor pajak|tax payment|e-billing,DJP|Kas Negara|Bank Persepsi,100000,20000000,
Setor PPN,PAYMENT,OPERATING,SIMPLE,Penyetoran PPN Kurang Bayar ke kas negara,false,true,1,0,,Gunakan template ini untuk mencatat penyetoran PPN kurang bayar hasil SPT Masa PPN.,ppn|vat|setor ppn|pajak pertambahan nilai|spt masa ppn,DJP|Kas Negara|Bank Persepsi,1000000,500000000,
Setor PPh 23,PAYMENT,OPERATING,SIMPLE,Penyetoran PPh Pasal 23 atas jasa yang dibayarkan,false,true,1,0,,Gunakan template ini untuk mencatat penyetoran PPh 23 atas pembayaran jasa kepada pihak ketiga.,pph 23|pajak jasa|withholding tax|setor pph 23,DJP|Kas Negara,100000,50000000,
Bayar Sewa Kantor,EXPENSE,OPERATING,SIMPLE,Pembayaran sewa kantor atau gudang,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran sewa kantor atau gudang per bulan atau per tahun.,sewa|rent|kantor|gudang|sewa kantor|sewa gudang,Pemilik Gedung|Landlord,2000000,50000000,
Bayar Listrik & Air,EXPENSE,OPERATING,SIMPLE,Pembayaran tagihan listrik dan air kantor,false,true,1,0,,Gunakan template ini untuk mencatat pembayaran tagihan listrik dan air kantor atau gudang.,listrik|air|pln|pdam|utility|utilities,PLN|PDAM,500000,10000000,.*pln.*|.*pdam.*
Beban Admin Bank,EXPENSE,OPERATING,SIMPLE,Potongan biaya administrasi bank,false,true,1,0,,Gunakan template ini untuk mencatat biaya administrasi bank bulanan.,admin bank|biaya bank|bank charge|bank fee|potongan bank,BCA|Mandiri|BNI,5000,500000,.*bank.*
Transfer Antar Bank,TRANSFER,OPERATING,SIMPLE,Transfer dana antar rekening bank perusahaan,false,true,1,0,,Gunakan template ini untuk mencatat transfer dana antar rekening bank milik perusahaan sendiri.,transfer|pindah buku|antar bank|antar rekening|overbooking,,1000000,5000000000,
Pembelian Persediaan,EXPENSE,OPERATING,SIMPLE,Template sistem untuk pembelian persediaan dari fitur inventory,true,true,1,0,,Template sistem untuk mencatat pembelian persediaan. Digunakan oleh fitur inventory management.,pembelian|purchase|persediaan|inventory|stock,,1000000,1000000000,
Penjualan Persediaan,INCOME,OPERATING,DETAILED,Template sistem untuk penjualan persediaan dengan HPP. Variabel: cogsAmount revenueAmount,true,true,1,0,,Template sistem untuk mencatat penjualan dengan otomatis menghitung HPP. Digunakan oleh fitur inventory management.,penjualan|sales|persediaan|inventory|hpp|cogs,,1000000,5000000000,
Penyesuaian Persediaan Masuk,EXPENSE,OPERATING,SIMPLE,Stock opname lebih - persediaan bertambah,true,true,1,0,,Gunakan template ini ketika stock opname menunjukkan persediaan fisik lebih banyak dari catatan.,stock opname|penyesuaian|adjustment|persediaan lebih|selisih,,100000,50000000,
Penyesuaian Persediaan Keluar,EXPENSE,OPERATING,SIMPLE,Stock opname kurang - persediaan berkurang (rusak/hilang),true,true,1,0,,Gunakan template ini ketika stock opname menunjukkan persediaan fisik kurang dari catatan.,stock opname|penyesuaian|adjustment|persediaan kurang|rusak|hilang|selisih,,100000,50000000,
